text,label,TOXICITY,SEVERE_TOXICITY,IDENTITY_ATTACK,INSULT,PROFANITY,THREAT,SEXUALLY_EXPLICIT,OBSCENE,SPAM
 I appreciate all you guys separates especially guys,0,0.13091081,0.077481255,0.109040976,0.076293804,0.09977411,0.31651697,0.16331139,0.063813135,0.5022119
 And my for moderating really well yesterday so I commend you guys for all that and I hope you will continue to be a positive influence and affect your direct so your direct people that can change as well,0,0.16359214,0.08902153,0.14890921,0.13516545,0.05185167,0.26909354,0.0451972,0.052809,0.8603142
" And I think we need to really keep this also uh, in the forefront for people to learn about because I haven't been enough about it",0,0.08057806,0.035913266,0.09076105,0.05757147,0.05446909,0.08235297,0.0810857,0.06482507,0.23747636
" Um, and uh, but I just now made in recent weeks and the Syrian friend, I didn't even know what is a Syrian, you know, it's not Syrian and there's like they're like connected to the Armenian people in certain ways, but they're not",0,0.14289454,0.073055126,0.2963651,0.100110844,0.071877316,0.10677789,0.06416598,0.13051131,0.1145994
" So this is something very important that I think we should also emphasis, I just want to say, uh, the same thing",0,0.037322786,0.014338698,0.02526404,0.010709022,0.02817983,0.071214974,0.05022757,0.024563102,0.44822425
 I do agree with you biden that just recognize that,0,0.050616067,0.01461342,0.022524968,0.025819164,0.021422634,0.061257966,0.029818615,0.009732123,0.04312733
" But at the same time, biden just funded uh, Azerbaijan",0,0.11317595,0.057332177,0.16058315,0.11290187,0.091256425,0.08506801,0.12525403,0.024733683,0.016984701
 So whoever wanted to speak on the question and then we can open it up back to conversation,0,0.0597956,0.021611817,0.04342941,0.031660117,0.037874088,0.08318998,0.07946688,0.03878239,0.15523279
" You can, I think I've been in here for like 30 hours on and off and it has been the most incredible conversations going up and down and all around and guy Maria Rayna, I mean I have to salute you as well as obviously margins",0,0.19454935,0.088573195,0.08117077,0.16234721,0.14285633,0.24753956,0.1808465,0.060854074,0.60233665
" And this is really, we are like to have clubhouse like this motion that you started the room to see where the conversation has been going and it's almost 2",0,0.04332258,0.009800816,0.016488995,0.02371714,0.014272345,0.022099828,0.020259101,0.020068455,0.34751123
" Hi, it's Suzanne, I was just gonna voice in this room has been beautiful for me",0,0.24077104,0.097573794,0.10945419,0.11435672,0.19335867,0.23581976,0.34012467,0.08830097,0.6413131
" It has been therapeutic because I have spent many days crying, wondering what I can do",0,0.10760705,0.04264027,0.07266083,0.078878656,0.0770052,0.103714675,0.11958679,0.06778259,0.5183209
" I truly feel like although I might not be making a difference in the the whole resolution, it just feels like I'm hearing people that truly want to make a difference and truly want there to be a peaceful resolution",0,0.09439752,0.043223634,0.118662775,0.049543303,0.059627604,0.113951616,0.064900264,0.007679818,0.07511888
" We're going to do more just I guess just start continuing to use the balanced club and maybe we could do with some other topics to if you guys want to follow along, but whoever wants to speak next and we can bring some people from the audience",0,0.044444486,0.016542451,0.039769504,0.023235865,0.020314896,0.05146878,0.030236628,0.08084542,0.19553046
 So there are many people who are going into conversation,0,0.06739353,0.021828666,0.033638846,0.032399606,0.033348154,0.12266425,0.030109648,0.02128279,0.23341604
 But we're just trying to just figure out what people learned and house people's minds got changed,0,0.081861705,0.030041024,0.122685686,0.0605228,0.03752717,0.08519753,0.03805468,0.038558893,0.034711014
" And if you want to answer, picking us up, can we hear a Palestinian place? I would love to hear",0,0.292724,0.1690032,0.4694496,0.18309824,0.14494957,0.23520476,0.113382824,0.0130241085,0.036214568
" But did you want to share? Do you want to just continue? Because once we continue the conversation, I'll call on you",0,0.08602881,0.026633954,0.024638169,0.06294504,0.02591172,0.07728429,0.04921566,0.04818264,0.62627035
 What did you learn much? Well um I like I like the room honestly speaking,0,0.07163129,0.024364347,0.036647845,0.043252725,0.049100515,0.03860385,0.07720014,0.09301883,0.44045073
" But I have I have listen to many misinformation that needs to be corrected so I will just leave it for now and then later on I come when we do, yeah we're calling you when we leave back in Natali Natali, would you would you like to say something to talk? Sure",0,0.071352564,0.026941268,0.038389374,0.043006174,0.02928015,0.111072935,0.029748814,0.06528477,0.54336774
 Um I was just wanted to say that I really appreciate this room as well because um I mean first of all I feel really humble that I'm able to have been a part of these conversations,0,0.10101794,0.042440712,0.048898567,0.049101006,0.08856266,0.11903282,0.10140435,0.034295894,0.49340814
 Um I feel really humble that there are people who are creating spaces for and facilitating conversations between Palestinians and Israelis,0,0.19435526,0.13934001,0.34876585,0.11343728,0.09131069,0.20546776,0.08296046,0.020939521,0.11276226
" And just this effort brings me so much hope and I feel a lot of um I mean you know there it's difficult because there there's a lot of heightened, there's tension, there's a lot of history and just the willingness to learn is extremely beautiful and if I could just share one thing I learned um yesterday I was sharing that my family um I'm Palestinian, but my grandmother left Well what had to leave Palestine um when she was 13 and went to Lebanon um and was forced to leave the life she ever known and really never spoke about being Palestinian because I think the trauma she faced and the fear of persecution and also these this politics somewhat in Lebanon where it's uh an officially christian country and we're christian Palestinian and she um uh was given Lebanese citizenship because she was half Palestinian, half Lebanese and christian",0,0.24307288,0.17470583,0.43641862,0.21562362,0.108245715,0.19178602,0.10531672,0.016947161,0.12202264
 A lot of Palestinians in Lebanon continue to live in refugee camps and are not granted citizenship and they continue to be stateless as they are in Palestine and it's extremely difficult for them and I can only imagine how difficult it was for my grandmother who passed her brothers and sisters,0,0.20780729,0.15507093,0.39514643,0.14606984,0.09422487,0.28806624,0.12168277,0.0025042533,0.023705034
" Um for me, I equated with, you know, the institution of the faith and I know that Judaism is a religion and it's in a group of people as well as it is a religion and I own my only frame of reference is I guess Christianity and the separation in my mind of the faith of Christianity and the institution of Christianity, which is let's say the Vatican and how I would react if I had seen, you know, the Vatican annexing Italy and further encroaching on Italy and taking homes from Italians",0,0.23792456,0.15877602,0.48915076,0.13503057,0.13000095,0.15036337,0.09534117,0.050325997,0.19084723
" And so I thought things were, that was my family reference",0,0.023358159,0.009117672,0.017785352,0.0070738783,0.016921584,0.032416843,0.033644233,0.022053855,0.15293276
" So it's, it's been so uh, I guess enlightening, beautiful heartening to listen to and expand my mind and see that, you know, zionism is not just what I thought it was and it's also not for me to define anti Semitism though I know my heart, I'm sorry, I feel like I took so much space",0,0.22903651,0.0856823,0.3531653,0.17114711,0.12253288,0.11289317,0.07531237,0.1248312,0.41062573
" Can I say a couple of words about what he just said? No, let's just stay on topic week",0,0.10179754,0.036244527,0.04423149,0.062965184,0.06973673,0.078238286,0.07989554,0.10729822,0.2304131
" You could address people, but right now we're just doing individual talks",0,0.08496069,0.032125045,0.06503707,0.052469276,0.058226544,0.096456,0.066863745,0.059414826,0.09882862
" I've been in this room for, like I said a couple of days witnessed a few different waves of earlier, somebody was complaining that one side is the room benefits one side more than the other",0,0.056077797,0.02176614,0.026791489,0.026457533,0.030107245,0.08191288,0.052225363,0.018279068,0.09350184
 Uh last night I was hearing completely opposite side of saying the same thing,0,0.150657,0.06510817,0.106521785,0.08747329,0.11898252,0.13770317,0.12008643,0.10950734,0.20443524
 So that also gives us an example of how at different times we can look at the same room and have completely different opinions on the same the same,0,0.03145155,0.009450264,0.015588703,0.014119936,0.018960968,0.026609344,0.026935104,0.026958507,0.284755
 Uh the information is completely different at different times,0,0.03463843,0.014610094,0.026189046,0.012971637,0.03423578,0.047413975,0.058915563,0.03585268,0.3360838
 A couple of comments I have to make by listening for a few days,0,0.07597059,0.03476449,0.05013747,0.040237796,0.0412796,0.09660572,0.091817625,0.029625533,0.37940687
 Uh first I'd like to say that the terminology is extremely important,0,0.08669901,0.04213473,0.06903623,0.034746513,0.06635131,0.14138612,0.10798452,0.07065649,0.07675847
 And is it possible you could just share your personal experience and not a few things,0,0.1575107,0.059143472,0.10346015,0.12593164,0.06509045,0.086808175,0.06347705,0.019864421,0.30371904
" We don't don't address what was said, and I'm just going to say this again, I'm not talking to you, but it seems like a lot of people are going to that and there are people waiting to speak and what was asked What You don't talk about terminology, Don't talk about",0,0.07280655,0.025296269,0.05435071,0.04237397,0.036474463,0.049058042,0.037560552,0.060643017,0.24969344
" What has, what has your mind changed? How have you never done? Very, very quick then, Then what I see in my mind is changing",0,0.1535882,0.03886934,0.056052763,0.15508825,0.04994507,0.028534036,0.04633215,0.01921579,0.4759001
" So, if anyone wants to address the question and don't try to reframe it three different ways to try to get your point across",0,0.05244896,0.0125393765,0.023961585,0.023080437,0.022135844,0.057172522,0.0361397,0.020122955,0.15411365
" It's not going to show anyone, you know, you're not going to draw people to your way",0,0.14208387,0.046578154,0.07605113,0.11569044,0.07048678,0.12506942,0.03844706,0.11760548,0.18896928
" So, if anyone wants to share what was changed in their mind by listening to this room, whether you're here for five minutes, this is say idea",0,0.10557371,0.030084927,0.0564055,0.08420793,0.044604007,0.08884149,0.049792204,0.11154768,0.40625763
 I would like to have two words about my experience in this room,0,0.09084311,0.0594754,0.063101046,0.03870334,0.08680234,0.1688276,0.14031887,0.067080796,0.34628922
" And uh I would really I also, I was moved by some of my Israeli brothers and sisters were able to understand uh and get moved by the Palestinian side of stories",0,0.105932,0.096808165,0.23620147,0.06475791,0.086374134,0.18651888,0.17649114,0.0139908455,0.04326747
 And also I want myself I want to pray for the people,0,0.09644229,0.061963186,0.10565391,0.0436672,0.10062198,0.2265182,0.122202925,0.01883195,0.09088936
" You know sometimes the moderators have done an excellent job in trying to limit the harmful interaction of people who are unable to do that, unable to suppress their anger and rage",0,0.2678527,0.11822376,0.14339171,0.27633122,0.10847521,0.3091797,0.050461814,0.0980349,0.2811431
 And it's just so sad for me that we still cannot do this,0,0.08609323,0.024132863,0.09394786,0.057130482,0.04985942,0.055167753,0.025907815,0.047933485,0.12943967
" And I'm so I'm not not even post its certainty, Peace will come",0,0.07797202,0.030519957,0.054638613,0.0368542,0.042363413,0.10308449,0.058293667,0.030010676,0.4096813
" Just a statement saying one would be, let's support palace to the new year label Anti Semetic",0,0.17613654,0.089505784,0.25039393,0.13824455,0.10327091,0.25221944,0.18259962,0.17858665,0.20987745
 Exactly what Mohammed mentioned the same recycled art tears your athletic,0,0.15073687,0.04443161,0.19053209,0.13464041,0.057580087,0.03553576,0.039877377,0.07086199,0.014182565
 I just think that argument itself for some reason only attached to the Palestinian must all income from the Palestinians,0,0.25512335,0.14866589,0.48027468,0.11657253,0.08989104,0.24202804,0.053016435,0.02586254,0.023063244
 So it was so my memory goes back to when it was just Egyptian and Palestinian orders,0,0.12053177,0.06486006,0.22662902,0.07759182,0.06752125,0.08134745,0.11145325,0.09326039,0.041425705
" No it's really but like you bringing up these things, I'm starting to remember stuff that like I remember at some point, well people are we're living so they were entering the Israeli border from the Egyptian border",0,0.15320757,0.10483959,0.29579148,0.11557281,0.091914125,0.17093751,0.093485735,0.026089622,0.05344354
" I remember them getting a man, so obviously you have to go through metal detectors",0,0.25957608,0.113665916,0.25254583,0.20462811,0.14428575,0.28258824,0.10977291,0.079889886,0.054343104
" I remember once after we all went through the metal detectors and my auntie was with us and she was pregnant and she was begging she's like I'm pregnant, I cannot go into these metal detectors because obviously she's pregnant and they're not good for they're not good for the baby",0,0.1964453,0.12887335,0.19044533,0.17038822,0.13809256,0.14455588,0.1600862,0.42126352,0.11505558
 And that's just why because he's going punk is pretty to Gaza which is you know shouldn't be a which shouldn't be you know we shouldn't be treated in this way,0,0.2351126,0.09778,0.18851545,0.20526202,0.13328232,0.26695502,0.08577258,0.043121193,0.0284281
 Um I have like a lot a lot like the amount of things we went through on the Egyptian side on like as you said like after the torture of like then I remember how you said you went with the V,0,0.15274455,0.09136497,0.11635274,0.08148365,0.07566515,0.4611025,0.066480435,0.2691877,0.39663863
 We tried to be I passed on the Egyptian border once,0,0.10136232,0.06170709,0.15449947,0.05822288,0.0660788,0.15864497,0.07733422,0.101004854,0.0723868
 And so it was basically so the border like to get to the actual building where you stamp your passport you need to get across and outside border which is like a 10 minute no not even maybe a 10 minute walk,0,0.09790963,0.05357722,0.058805317,0.059801675,0.035740674,0.26515076,0.060089156,0.019566594,0.10209159
 So because we were Children at the time my parents were like well just pay and instead of having to like walk this basic even more than 10 minutes actually 20 minutes maybe we'll just pay for the best to get us exactly inside,0,0.057534106,0.021721572,0.03358621,0.02748922,0.030040734,0.11881139,0.05782636,0.015610494,0.19429713
" Like if I recall correctly, the bus picked us about 10",0,0.050520763,0.015586583,0.024424087,0.022945,0.027870238,0.059430763,0.060818315,0.030416135,0.020833481
 From the area we were in and then one hour drive 11 am,0,0.05766551,0.022290304,0.035216045,0.026938643,0.038584426,0.07018787,0.058686048,0.025160596,0.1877002
 We were outside the Borders at the outside borders and the bus was not allowed to move and we saw people who had been there four days trying to enter and that time we stayed outside in the sun and Egypt is very hot in the summer For over like 11 12 hours,0,0.090277456,0.03812633,0.09742578,0.054895982,0.062450062,0.121219344,0.1354895,0.05963873,0.188873
 They let us they finally let us in the border to get our passport stamped once we got there we got there also it took long again as she said like you know you're having a foreign passport does not speed anything up for you,0,0.0652751,0.020353954,0.03365329,0.043662537,0.022628225,0.081353724,0.027344443,0.01849003,0.090528645
" They can like one instance it was thrown in our face like go take your passport and drink it like wet it and drink its water kind of, it's in Arabic saying below tomato kind of thing like what are you doing with your past? Like we don't care about it basically",0,0.3438672,0.28131866,0.43517327,0.30006412,0.19329874,0.5107583,0.34234852,0.27032146,0.10359379
" And because we're foreigners we have to we have a foreign passport, we have to wait extra time for our passport information to go all the way to like extremely intelligence or whatever",0,0.16397728,0.06317781,0.27769166,0.17109856,0.050532438,0.11669938,0.033668682,0.030432047,0.11014628
" And as she, but at this point I'm describing a time where there was no Israeli size",0,0.19111316,0.12181841,0.3918117,0.13292289,0.13343282,0.17005177,0.14901346,0.05695911,0.015139824
" So I just go back to like the Palestinian side and we got in there like you know for me, you know how she said, you know, take this sister was uh was the biggest relief for her for us",0,0.20157848,0.13688016,0.39049488,0.16225219,0.13793547,0.1382498,0.13466136,0.078880265,0.016271546
 We were literally just got off the bus and we were standing on a grassy area because the Palestinian area was very full of people,0,0.27539763,0.2348598,0.4436106,0.18722697,0.15655194,0.41575876,0.15052128,0.037531447,0.039362203
" My little brother was crying like I need water, I need water again",0,0.16917735,0.0856098,0.14483316,0.17374603,0.12068005,0.1592515,0.09254954,0.37425423,0.16124281
" This was the tastiest, most refreshing water I've ever drunk in my life",0,0.20739035,0.07878236,0.08260963,0.13353716,0.12847456,0.12896685,0.19821861,0.2675963,0.6215848
" And that was like the first time I actually felt, you know how in books they described the air of your country",0,0.106668845,0.043222968,0.09338137,0.0968901,0.07435692,0.0922104,0.12968972,0.054801203,0.53200805
" That was when I like felt the air of Palestine and I was like, oh my God, I'm in Palestine",0,0.06875445,0.03478977,0.1470114,0.021101857,0.05556223,0.086089544,0.083878115,0.023498496,0.15138938
" And and these memories and as she said, these things are what make us, you know, fight for it, this is what makes us want to be in Palestine another",0,0.07791156,0.033734124,0.13373932,0.044464495,0.036284495,0.19273582,0.0493036,0.042495307,0.034033142
 Now the border like the Egyptian To get from Cairo to the borders usually takes four hours,0,0.07979236,0.029476283,0.1029479,0.068023756,0.03354506,0.072437055,0.05301683,0.046385653,0.07289064
" This time it took us 12 hours because even though we paid VIP, imagine I'm just talking um the way because of all the restrictions that are happening, just the road from the Cairo airport to the border took 12 hours and that's for people who pay extra",0,0.05221267,0.016469281,0.035995655,0.021956794,0.02658091,0.068030596,0.02839776,0.027263215,0.029089121
" So we paid like for each person, like a big amount of money and then again, this is a privilege",0,0.14907892,0.043960657,0.09108747,0.11569798,0.057983227,0.10706826,0.03501658,0.052729197,0.3903978
" I'm not going to talk, I'm not going to like this is not the point of this story",0,0.060435522,0.02058943,0.027958177,0.022728767,0.029661758,0.071956575,0.027499424,0.034416754,0.12758324
" We go through one day, put our bags out, open our luggage and then just throw them on the ground and we have to collect them",0,0.48783815,0.3792792,0.20564178,0.20562367,0.19405559,0.8890353,0.15977287,0.4265735,0.079521574
 I'm not going to go into details about that because it's this is not the point of my story,0,0.05882006,0.02135439,0.025593344,0.01660245,0.036658447,0.091609456,0.02861347,0.064437784,0.47953343
" But when we got, we got into Gaza we're finished, there's like recently Israel have our started allowing Palestinians to leave Gaza through through the Jordanian border",0,0.1940204,0.1271472,0.40488064,0.13416727,0.09411919,0.27506745,0.08168472,0.0660184,0.036600947
" No, everyone is like lucky enough to get out but thankfully I don't know",0,0.056215227,0.020719806,0.04649971,0.028746137,0.026547413,0.08220187,0.042166203,0.039588537,0.12682812
" Yeah, thanks for the I guess we were one of those people and that experience on its own was for me one of the like one of the most heartbreaking experiences because we're going on to a bus after we finished all the like, you know, you know, so let me you know, so preparing for this travel through Israel, we're not allowed to carry any products that has like liquids in them so no makeup, no perfumes",0,0.15160944,0.09952877,0.26085812,0.12167106,0.0787393,0.24837275,0.07887614,0.12654571,0.4551577
" Everyone like imagine like, you know, people who are coming to say goodbye to us are like don't take this, forget about this shoes, you're only allowed to shoes with you per person is it? Actually? Yeah, I think It's either one or 2 shoes, I'm more inclined to think",0,0.070056796,0.018780796,0.030233141,0.040434204,0.022136562,0.02969066,0.01618977,0.052123684,0.31915897
" Yeah, I think it's two shoes you're not allowed anything with metal in it, you know, so like, like literally your bags, your luggage, it's not allowed to have wheels",0,0.23302065,0.08818206,0.097855225,0.21788968,0.13419388,0.14651956,0.09492828,0.122703195,0.2134205
" So all of our luggage was left there and you're carrying our things with us in our house path of our belongings were still there, we left, we had to leave them behind",0,0.08974521,0.04690875,0.07564127,0.07030225,0.05592183,0.13381827,0.1160384,0.12615505,0.2795071
" Like all your person like, you know, a toothbrush you can't carry with you",0,0.32893428,0.10403073,0.092183866,0.29764903,0.10077159,0.17235318,0.07248407,0.1546494,0.21966653
 You can unless you get a specific uh huh allowance or specific,0,0.11601621,0.043806333,0.060880963,0.083479926,0.061587557,0.16425262,0.08665633,0.051698994,0.13827862
" But you know, we have people that are leaving and they have their hands up and I just realized that they're all gone and I'm not trying to take away from your story, but please we do know these injustices",0,0.07295342,0.020916035,0.023681065,0.042941704,0.019511487,0.059239965,0.01459619,0.039878417,0.11179098
" But if you know, you can get to your like your punch point because we have heard like, I don't know, I don't know if I'm sorry if I'm I just feel like we have some new voices that uh, and as moderators, you know, I still feel like we should always be discourse",0,0.27061513,0.13318773,0.10244752,0.12460522,0.11699556,0.64327526,0.17067339,0.06779026,0.33313137
" And just found I felt bad a little bit for going on for lunch, so I'm just gonna go quickly where I'm getting out",0,0.1268936,0.062959634,0.11724957,0.072719686,0.09979741,0.25665814,0.14040625,0.10792632,0.15186375
" I hate to say this word, but yeah, we left and then they put us one of us in this bus, we had a police car right behind this, in a police car in front of us because we we weren't allowed to leave this bus until we reach the Jordanian border",0,0.24201703,0.18614167,0.22477281,0.15079176,0.15431353,0.43006164,0.14026009,0.12966163,0.06990249
" So for example, and just see it from a window and knowing that it's like a couple of miles away and then you're just not allowed to go down and see it",0,0.11528675,0.039841175,0.042894367,0.09193434,0.049892917,0.1418478,0.036662217,0.082900725,0.09302427
 And so because he really wants to help help Palestine um with with good government infrastructure,0,0.07606774,0.02617165,0.11863199,0.0637525,0.04007712,0.039175544,0.041684303,0.019861557,0.23222506
 Doing some things and um there was this giant conference that it was the APAC conference and I didn't know what that was,0,0.059088815,0.020260163,0.032901604,0.026365077,0.042110283,0.044373047,0.09401023,0.72788066,0.25469562
 And when I started hearing what they were saying and it struck me how these people this this a pack group was completely dehumanizing everybody that was in the Palestinian state,0,0.20336515,0.12728621,0.32152304,0.13755645,0.09105807,0.2957547,0.047063675,0.03320288,0.038882285
" And I thought what in the world is going on here and my friends, we were just shocked",0,0.06261763,0.023005376,0.03662795,0.02463788,0.04817006,0.08923423,0.073205344,0.04069324,0.21397425
 And and then I realized also how much power that this group actually has,0,0.049975526,0.015231375,0.020694533,0.020870132,0.025138937,0.05850045,0.04095199,0.034697652,0.13883957
" And they would go around in groups and clusters to to the Congress people's office to get, you know, to ask for this funding at the same time completely dehumanizing everyone saint Palestine",0,0.115994565,0.052029334,0.22286978,0.09758244,0.0388878,0.07878839,0.03620674,0.017879024,0.027376909
" And and then when I, you know, so you fast fast forward years later and my I get to meet my friend Jasim and he's telling me these you know, stories about just how he, you know the trip the trip he had to take to get from from Palestine, he's in Gaza to Estonia to start our you know our school there, I was just absolutely floored and in tears and and so you know when I found out he was there last week and the bombings began, it was it was quite a rush to try to find out if he was okay, but I just wanted to let you guys know that there are people in the US who do understand what's going on and we're speaking up, we're not being silent and and it's hard, I will tell you it's hard because in in places like where I live, I I live in Oklahoma um that are very republican, very conservative and they conflate the, you know supporting of jesus and Christianity with supporting what's going on with with palace with Israel",0,0.16764186,0.14620537,0.33231968,0.14008759,0.08883716,0.26104292,0.09039598,0.11838338,0.37903357
 Can I please respond to that first of all boomer sooner,0,0.14652029,0.08011871,0.09054986,0.07400715,0.11144062,0.19781634,0.24611206,0.017839774,0.45224562
" So Oklahoma is near and dear to my heart, I love it",0,0.09128971,0.056922425,0.07284314,0.049862154,0.08848563,0.19562495,0.1586275,0.0577771,0.24960515
" Um and you know you you brushed on the fact that like yeah, thank you first of all for letting us know like where you stand and and I know I know there are americans that are with us once they find out the truth and that's just the hardest part is to penetrate that brainwashing that they went through",0,0.45554233,0.30002877,0.4302959,0.44897425,0.2791792,0.42344767,0.50464046,0.019640718,0.075600386
 These of these actions by the UN is to continue the reason for the between the conflict,0,0.0861426,0.029321294,0.071872234,0.047374476,0.03519566,0.12082173,0.04273407,0.021775868,0.090783246
" 700,000 Palestinians are expelled which was this was literally you know, other last week",0,0.2824467,0.15535231,0.4906227,0.20246165,0.14215831,0.2246137,0.075449996,0.02189872,0.014821968
" So in my opinion, solving this issue is not by solving the symptoms symptoms",0,0.039942637,0.013545135,0.0307608,0.012439384,0.01587031,0.045786623,0.014630499,0.016410852,0.18238497
" Why? Also mainly because 85% Sorry, excuse me, excuse me, just one second, I'm sorry",0,0.076337494,0.028608218,0.057350084,0.028664675,0.042753633,0.08670442,0.056822337,0.07459023,0.19106902
" Please surrender the microphone when? Okay, Thank you",0,0.031734027,0.012575962,0.021600604,0.012543002,0.013714648,0.06094113,0.023400517,0.10157868,0.0713063
 And I would like to start by saying mo I apologize,0,0.08456476,0.047622494,0.07485909,0.04083335,0.06217875,0.18872629,0.1400436,0.0896261,0.22234723
 Are you gonna be are you gonna again? The format is we want to address the comments and a question that we just made,0,0.07143017,0.016545113,0.030828523,0.05253491,0.01949474,0.03708373,0.030331273,0.08118589,0.7604884
" Is there any perspective you want to share on what I just said? If not we'll reserve, will reserve will come back to you as a speaker in order that we're going please? All right",0,0.06386981,0.023739073,0.029837718,0.036927667,0.027658021,0.08331671,0.047598813,0.03576642,0.6520545
" No need if there is no question to answer or no additional perspective, that's fine",0,0.029995123,0.00813054,0.018882714,0.012637625,0.010240468,0.030664844,0.01340485,0.047039576,0.20065242
 I I can I have something to say in response to them And I also had a question um would it be all right if I said both or do you want me to just respond for now? Go ahead and just respond because I would like to turn it back to Lonnie for for order,0,0.1064063,0.059521962,0.108381055,0.072569385,0.060093667,0.110318094,0.13874997,0.03774411,0.6290076
" Um so growing up, you know, I'm a jewish american, I do have a lot of Israeli family",0,0.24151649,0.19277155,0.46249896,0.16302592,0.137453,0.22970954,0.10185903,0.040810235,0.13360651
" Um and we say every year on Passover for thousands of years, we've said next year in Jerusalem",0,0.07465707,0.039332308,0.13357419,0.03144172,0.0377224,0.13397983,0.03402281,0.1518062,0.10051224
 Um Guy I did see you flash your mic and or come off you,0,0.44118106,0.24486478,0.1122706,0.25652376,0.20327216,0.62973225,0.3181409,0.1657429,0.14990188
" Um was there something you want to say? Who me? Yeah, maybe it was a mistake with not in orders",0,0.086495325,0.030813968,0.051964056,0.05653823,0.03326107,0.09144582,0.0469292,0.03794695,0.020785183
" Yeah, I've got something I gotta say super quick and then let's continue with Monty's PTR",0,0.070822164,0.024569223,0.051719483,0.03907467,0.047762137,0.106295325,0.06328697,0.44941682,0.2269474
" I just wanna say super quick that um the word anti Semitic was invented by a dude named William Maher and like the 18 hundreds, 18 hundreds and um 19 hundreds I should say",0,0.22013752,0.09902523,0.35868126,0.17144637,0.09852453,0.19259168,0.113825284,0.03642045,0.047297966
" Um even if you are a Semitic language speaker, thank you",0,0.17381667,0.12465342,0.28902844,0.16720073,0.09218791,0.1723476,0.09220961,0.2301486,0.042657174
" I would just guys really quickly, I would suggest this rule of thumb",0,0.11669314,0.055065896,0.08109887,0.063591324,0.07549528,0.23546779,0.12720017,0.13996069,0.17575093
" And then when you tweet that come and tell me that you think that you're a semite, I'll accept the whole thing",0,0.31089434,0.15296097,0.4192718,0.31912544,0.17033209,0.10348001,0.120328955,0.16552393,0.013277023
" Please don't make that, argued that false argument about Semitism",0,0.2789071,0.13927749,0.47238258,0.21137136,0.13518532,0.2347326,0.069546536,0.11955237,0.056724582
 I just want to make sure I'm not taking anyone else because I seem to be able to do like a few other people in front of me,0,0.16095608,0.07716529,0.09784399,0.074331105,0.10524294,0.29985765,0.17309372,0.10477873,0.19073111
" But yeah sure I'll go ahead and share, Lonnie Lonnie is taking care of the order so guys don't worry about it because there's there's been some movement on the stage so go ahead, appreciate it",0,0.07990498,0.023026662,0.060473345,0.051199365,0.027600361,0.06950406,0.04721629,0.14850059,0.29212874
 I kind of just had like I mean I agree with George and guy and also Melanie regarding the comment because I am Israeli myself and I was a quick story for myself,0,0.07157486,0.039595056,0.13807365,0.04956046,0.047141757,0.08089622,0.079694815,0.0105293235,0.13235718
 Like people are sharing stories and I've spoken in the room about days ago,0,0.050493866,0.016036913,0.044675376,0.024242897,0.029350013,0.052712448,0.023284184,0.03687775,0.31193486
